Ação,Fundo,Topo
ABEV3,Set,Jan
AZUL4,Mai,Jan
B3SA3,Mar,Jul
BBAS3,Jun,Nov
BBDC3,Jul,Dez
BBDC4,Ago,Jan
BBSE3,Mar,Dez
BEEF3,Mar,Set
BPAC11,Abr,Jul
BRAP4,Mar,Dez
BRDT3,Abr,Jan
BRFS3,Mar,Set
BRKM5,Mar,Set
BRML3,Mar,Nov
CCRO3,Mar,Dez
CIEL3,Jan,Jul
CMIG4,Set,Abr
COGN3,Abr,Nov
CPFE3,Jan,Mai
CPLE6,Abr,Set
CRFB3,Nov,Jan
CSAN3,Out,Jul
CSNA3,Nov,Ago
CVCB3,Mar,Jan
CYRE3,Abr,Nov
ECOR3,Mar,Dez
EGIE3,Mar,Dez
ELET3,Abr,Dez
ELET6,Abr,Set
EMBR3,Ago,Fev
ENBR3,Mar,Jul
ENEV3,Nov,Abr
ENGI11,Out,Jul
EQTL3,Mar,Jul
EZTC3,Abr,Dez
FLRY3,Mar,Ago
GGBR4,Abr,Dez
GNDI3,Abr,Jan
GOAU4,Ago,Jan
GOLL4,Mai,Dez
HAPV3,Abr,Jan
HGTX3,Out,Ago
HYPE3,Ago,Dez
IGTA3,Abr,Dez
IRBR3,Abr,Jan
ITSA4,Jul,Dez
ITUB4,Jul,Dez
JBSS3,Mar,Ago
JHSF3,Mar,Set
KLBN11,Mar,Jan
LAME4,Out,Jul
LCAM3,Abr,Jan
LREN3,Abr,Jul
MGLU3,Mar,Out
MRFG3,Jan,Ago
MRVE3,Abr,Dez
MULT3,Mar,Nov
PCAR3,Jun,Jan
PETR3,Jan,Mai
PETR4,Jan,Mai
PRIO3,Out,Abr
QUAL3,Abr,Jan
RADL3,Mar,Out
RAIL3,Abr,Ago
RENT3,Mar,Nov
SANB11,Jul,Dez
SBSP3,Set,Jun
SULA11,Mar,Dez
SUZB3,Nov,Fev
TAEE11,Fev,Ago
TIMS3,Set,Fev
TOTS3,Mar,Jul
UGPA3,Dez,Mai
USIM5,Jan,Abr
VALE3,Set,Dez
VIVT3,Set,Mar
VVAR3,Mar,Jul
WEGE3,Mar,Dez
YDUQ3,Mar,Dez
